标准指标名,指标分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,TT-Advertiser,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Campaign,FB-AdSet,FB-Ad
video_watched_6s,Video,-,-,-,-,-,-,-,video_watched_6s,video_watched_6s,video_watched_6s,video_watched_6s,-,-,-,-,-,-
video_views_p25,Video,-,video_quartile_p25_rate,video_quartile_p25_rate,video_quartile_p25_rate,video_quartile_p25_rate,video_quartile_p25_rate,-,video_views_p25,video_views_p25,video_views_p25,video_views_p25,-,-,-,video_p25_watched_actions,video_p25_watched_actions,video_p25_watched_actions
video_views_p50,Video,-,video_quartile_p50_rate,video_quartile_p50_rate,video_quartile_p50_rate,video_quartile_p50_rate,video_quartile_p50_rate,-,video_views_p50,video_views_p50,video_views_p50,video_views_p50,-,-,-,video_p50_watched_actions,video_p50_watched_actions,video_p50_watched_actions
video_views_p75,Video,-,video_quartile_p75_rate,video_quartile_p75_rate,video_quartile_p75_rate,video_quartile_p75_rate,video_quartile_p75_rate,-,video_views_p75,video_views_p75,video_views_p75,video_views_p75,-,-,-,video_p75_watched_actions,video_p75_watched_actions,video_p75_watched_actions
video_views_p100,Video,-,video_quartile_p100_rate,video_quartile_p100_rate,video_quartile_p100_rate,video_quartile_p100_rate,video_quartile_p100_rate,-,video_views_p100,video_views_p100,video_views_p100,video_views_p100,videoCompleted,videoCompleted,videoCompleted,video_p100_watched_actions,video_p100_watched_actions,video_p100_watched_actions
average_video_watch_time,Video,-,average_video_watch_time_duration_millis,average_video_watch_time_duration_millis,average_video_watch_time_duration_millis,-,-,-,average_video_play,average_video_play,average_video_play,average_video_play,-,-,-,video_avg_time_watched_actions,video_avg_time_watched_actions,video_avg_time_watched_actions
video_watch_time_total,Video,-,video_watch_time_duration_millis,video_watch_time_duration_millis,video_watch_time_duration_millis,-,-,-,-,-,-,-,-,-,-,-,-,-
trueview_views,Video,-,video_trueview_views,video_trueview_views,video_trueview_views,video_trueview_views,video_trueview_views,video_trueview_views,-,-,-,-,-,-,-,-,-,-
trueview_view_rate,Video,-,video_trueview_view_rate,video_trueview_view_rate,video_trueview_view_rate,video_trueview_view_rate,video_trueview_view_rate,video_trueview_view_rate,-,-,-,-,-,-,-,-,-,-
trueview_view_rate_in_feed,Video,-,video_trueview_view_rate_in_feed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
trueview_view_rate_in_stream,Video,-,video_trueview_view_rate_in_stream,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
trueview_view_rate_shorts,Video,-,video_trueview_view_rate_shorts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
trueview_average_cpv,Video,-,trueview_average_cpv,trueview_average_cpv,trueview_average_cpv,trueview_average_cpv,trueview_average_cpv,trueview_average_cpv,-,-,-,-,-,-,-,-,-,-
engaged_view,Video,-,-,-,-,-,-,-,engaged_view,engaged_view,engaged_view,engaged_view,-,-,-,-,-,-
absolute_top_impression_percentage,Impression Share,-,absolute_top_impression_percentage,absolute_top_impression_percentage,absolute_top_impression_percentage,absolute_top_impression_percentage,absolute_top_impression_percentage,absolute_top_impression_percentage,-,-,-,-,-,-,-,-,-,-
top_impression_percentage,Impression Share,-,top_impression_percentage,top_impression_percentage,top_impression_percentage,top_impression_percentage,top_impression_percentage,top_impression_percentage,-,-,-,-,-,-,-,-,-,-
search_impression_share,Impression Share,-,search_impression_share,search_impression_share,-,search_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_absolute_top_impression_share,Impression Share,-,search_absolute_top_impression_share,search_absolute_top_impression_share,-,search_absolute_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_exact_match_impression_share,Impression Share,-,search_exact_match_impression_share,search_exact_match_impression_share,-,search_exact_match_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_rank_lost_impression_share,Impression Share,-,search_rank_lost_impression_share,search_rank_lost_impression_share,-,search_rank_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_rank_lost_absolute_top_impression_share,Impression Share,-,search_rank_lost_absolute_top_impression_share,search_rank_lost_absolute_top_impression_share,-,search_rank_lost_absolute_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_rank_lost_top_impression_share,Impression Share,-,search_rank_lost_top_impression_share,search_rank_lost_top_impression_share,-,search_rank_lost_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_impression_share,Impression Share,-,search_budget_lost_impression_share,search_budget_lost_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_absolute_top_impression_share,Impression Share,-,search_budget_lost_absolute_top_impression_share,search_budget_lost_absolute_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_budget_lost_top_impression_share,Impression Share,-,search_budget_lost_top_impression_share,search_budget_lost_top_impression_share,-,-,-,-,-,-,-,-,-,-,-,-,-,-
